error_code,count,lines,processes,equipment,sample_message
4525,1,Line1 ; Line10 ; Line2 ; Line3 ; Line32 ; Line4 ; Line5,Aging ; Cell Packing ; Degassing ; Formation ; IR ; IR/OCV ; Inspection ; OCV ; PPC ; Packing ; SVI ; VI,Cable ; IR/OCV ; Jig ; PLC ; PPC ; Pallet ; Rack ; SVI ; Tray,"[SKBA 1동] 화성 이슈 공유방 55 님과 카카오톡 대화 저장한 날짜 : 2023년 5월 30일 오후 12:12   2022년 12월 1일 오전 10:09 2022년 12월 1일 오전 10:09, 삼구/김응준/공정님이 들어왔습니다. 운영정책을 위반한 메시지로 신고 접수 시 카카오톡 이용에 제한이 있을 수 있습니다. 운영정책 보기 2022년 12월 1일 오전 10:09, 방장봇 : 들어오시면 프로필 수정 바랍니다  회사 / 이름 / 직책(담당: 기구, 제어, 공정, 외관 등)  수정이 없을 시 강퇴처리 됩니다 2022년 12월 1일 오전 10:32, SKon/이정원/공정기술님이 나갔습니다. 2022년 12월 1일 오전 10:55, 삼구/권계욱/공정님이 들어왔습니다. 2022년 12월 1일 오전 10:55, 방장봇 : 들어오시면 프로필 수정 바랍니다  회사 / 이름 / 직책(담당: 기구, 제어, 공정, 외관 등)  수정이 없을 시 강퇴처리 됩니다 2022년 12월 1일"
4557,1,Line1 ; Line10 ; Line2 ; Line3 ; Line32 ; Line4 ; Line5,Aging ; Cell Packing ; Degassing ; Formation ; IR ; IR/OCV ; Inspection ; OCV ; PPC ; Packing ; SVI ; VI,Cable ; IR/OCV ; Jig ; PLC ; PPC ; Pallet ; Rack ; SVI ; Tray,"[SKBA 1동] 화성 이슈 공유방 55 님과 카카오톡 대화 저장한 날짜 : 2023년 5월 30일 오후 12:12   2022년 12월 1일 오전 10:09 2022년 12월 1일 오전 10:09, 삼구/김응준/공정님이 들어왔습니다. 운영정책을 위반한 메시지로 신고 접수 시 카카오톡 이용에 제한이 있을 수 있습니다. 운영정책 보기 2022년 12월 1일 오전 10:09, 방장봇 : 들어오시면 프로필 수정 바랍니다  회사 / 이름 / 직책(담당: 기구, 제어, 공정, 외관 등)  수정이 없을 시 강퇴처리 됩니다 2022년 12월 1일 오전 10:32, SKon/이정원/공정기술님이 나갔습니다. 2022년 12월 1일 오전 10:55, 삼구/권계욱/공정님이 들어왔습니다. 2022년 12월 1일 오전 10:55, 방장봇 : 들어오시면 프로필 수정 바랍니다  회사 / 이름 / 직책(담당: 기구, 제어, 공정, 외관 등)  수정이 없을 시 강퇴처리 됩니다 2022년 12월 1일"
4559,1,Line1 ; Line10 ; Line2 ; Line3 ; Line32 ; Line4 ; Line5,Aging ; Cell Packing ; Degassing ; Formation ; IR ; IR/OCV ; Inspection ; OCV ; PPC ; Packing ; SVI ; VI,Cable ; IR/OCV ; Jig ; PLC ; PPC ; Pallet ; Rack ; SVI ; Tray,"[SKBA 1동] 화성 이슈 공유방 55 님과 카카오톡 대화 저장한 날짜 : 2023년 5월 30일 오후 12:12   2022년 12월 1일 오전 10:09 2022년 12월 1일 오전 10:09, 삼구/김응준/공정님이 들어왔습니다. 운영정책을 위반한 메시지로 신고 접수 시 카카오톡 이용에 제한이 있을 수 있습니다. 운영정책 보기 2022년 12월 1일 오전 10:09, 방장봇 : 들어오시면 프로필 수정 바랍니다  회사 / 이름 / 직책(담당: 기구, 제어, 공정, 외관 등)  수정이 없을 시 강퇴처리 됩니다 2022년 12월 1일 오전 10:32, SKon/이정원/공정기술님이 나갔습니다. 2022년 12월 1일 오전 10:55, 삼구/권계욱/공정님이 들어왔습니다. 2022년 12월 1일 오전 10:55, 방장봇 : 들어오시면 프로필 수정 바랍니다  회사 / 이름 / 직책(담당: 기구, 제어, 공정, 외관 등)  수정이 없을 시 강퇴처리 됩니다 2022년 12월 1일"
6000,1,Line1 ; Line10 ; Line2 ; Line3 ; Line32 ; Line4 ; Line5,Aging ; Cell Packing ; Degassing ; Formation ; IR ; IR/OCV ; Inspection ; OCV ; PPC ; Packing ; SVI ; VI,Cable ; IR/OCV ; Jig ; PLC ; PPC ; Pallet ; Rack ; SVI ; Tray,"[SKBA 1동] 화성 이슈 공유방 55 님과 카카오톡 대화 저장한 날짜 : 2023년 5월 30일 오후 12:12   2022년 12월 1일 오전 10:09 2022년 12월 1일 오전 10:09, 삼구/김응준/공정님이 들어왔습니다. 운영정책을 위반한 메시지로 신고 접수 시 카카오톡 이용에 제한이 있을 수 있습니다. 운영정책 보기 2022년 12월 1일 오전 10:09, 방장봇 : 들어오시면 프로필 수정 바랍니다  회사 / 이름 / 직책(담당: 기구, 제어, 공정, 외관 등)  수정이 없을 시 강퇴처리 됩니다 2022년 12월 1일 오전 10:32, SKon/이정원/공정기술님이 나갔습니다. 2022년 12월 1일 오전 10:55, 삼구/권계욱/공정님이 들어왔습니다. 2022년 12월 1일 오전 10:55, 방장봇 : 들어오시면 프로필 수정 바랍니다  회사 / 이름 / 직책(담당: 기구, 제어, 공정, 외관 등)  수정이 없을 시 강퇴처리 됩니다 2022년 12월 1일"
1022,1,,Formation,Tray,Line - Formation Line Common  Equipment Cod - ECS #2 Representative Equipment  Tray ID - L01454  Log Date - 3/9/2025 11:52  Error Code : 1022 입니다
M938,1,,,Stacker,ERROR code : M938 Stacker :1321 LANE 2 1 FLOOR  CAUSE: occurs when there is an ECS TASK but stacker is not working  ACTION: restart stacker  Program debugging   This issue is persistent in RTA3.
4551,1,,Packing,Pallet,@SKBA.MES.AE   안녕하세요  12Line Packing 에서  Mes Error code 4551 발생 하였는데  운영 로그 확인시 H045062 Pallet Pos 08 01 23 위치에 Packing data 누락 확인되어 Cell Mount NG 로 배출 되었습니다  Pos 08 01 23 위치에 Cell Add in Pallet 사용 시도 했으나 Pallet 배출 이전이라 Box ID 미생성으로 불가 합니다  해당 셀 보고 없이 다음 단수로 넘어가 적재된 이유 알수 있을까요? 동일 에러 발생시 MES UI 처리 할 수 있는 방법도 문의 드립니다  에러 조치 되었고 설비 가동 중 이여서 운영자님께 전달 해주시면 감사하겠습니다
8902,1,,,,"네 8905, 8904, 8902 에러 발생중입니다"
8904,1,,,,"방금 통화 드렸었고 ECS 서버 및 클라이언트 동작 상태는 문제 없다고 내용 전달 받았습니다. 트레이를 ECS 상태서 다음 BCR로 보내도 8904 에러 재 발생후 멈추고, 그 바로 이전 트레이도 이전 BCR에서 동일 에러 발생하는 상황입니다."
4511,1,,,Pallet,Pallet ID : HFB8B88 Cell ID : GB081FASPA107751  Error code :  4511 ParentLotIdof the cell do not match with the one in the equipment
8999,1,,VI,Barcode ; Tray,"That data looks good, but when we send the tray to a barcode via ECS, it is giving a 8999 error. MES code 35… unsure what that is"
8905,1,Line12 ; Line9,Degassing ; SVI ; VI,SVI ; Sensor ; Tray,"2025.10.23  공정 야간 특이사항   ■ 공정특이사항  [공통]  1) 1,2F ECS서버 다운 현상 발생(23:20~00:45, 85분)  - S/C 및 Conver BCR구간 ECS상 Err Code 8905 및 에러 메세지 없음  - BCR 구간에 대기 중인 Tray 다른 BCR구간으로 보냈을 시 도착 후 Code 8905 발생하며 미 동작  - 해당 Code에 대해 ECS, MES 측 확인 불가  - 원인 파악 후 공유 예정   [Line9]  1) SVI LMS#1 AUTO COUPLER CYLINDER IN SENSOR ALARM(03:40~04:20, 40분)  - L/D, ULD LMS 리니어 모터 사이 Cell 낙하 및 협착  - LD1 CELL VACUUM ERROR, UN1 LMS VACUUM TIME OUT Err메세지(03:40분) 이력 확인 진공에러로 Cell 낙하됐으나 실물 확인없이 가동 및 협착된 것으로 추정  - 메인터너스 측 에서  밍글공유  "
8203,1,Line9,Formation ; IR,Pallet,"2026.01.17 주간 공정 특이사항  [공통]  1. 전체 물류 ECS BCR 구간  Error Code : 8203, 8913 발생 하여 작동 불가 ( 10:20 ~ 11:20 )  - ECS 서버 재부팅 후 물류 정상 작동하나  ECS Client 최신화 불가 현상 발생  - 12:30 이후 ECS Client 정상 표기 및 물류 정상 작동  ■ Engineer 요청 사항  1. IR Reformation Type ( R5AS, R5CS ) 2Pallet, Line9 CPM 투입 완료  2026년 1월 18일 일요일"
152,1,,,,5LINE  Cell Body Terrace Edge Right Top 21ea Spec 72.85-75.85 G5081F3TP3111216 Mes 333.32 실측73.00-가성 G5081F3TP3110999 Mes 334.3 실측72.86-진성근접 G5081F3TP3110993 Mes 725.06 실측73.13-가성 G5081F3TP3111408 Mes 152.79 실측72.68 -진성불량  실측 결과  가성. 진성 같이  나오고 있습니다 *Mes 측정값 오류 확인부탁드립니다
333,1,,,,5LINE  Cell Body Terrace Edge Right Top 21ea Spec 72.85-75.85 G5081F3TP3111216 Mes 333.32 실측73.00-가성 G5081F3TP3110999 Mes 334.3 실측72.86-진성근접 G5081F3TP3110993 Mes 725.06 실측73.13-가성 G5081F3TP3111408 Mes 152.79 실측72.68 -진성불량  실측 결과  가성. 진성 같이  나오고 있습니다 *Mes 측정값 오류 확인부탁드립니다
334,1,,,,5LINE  Cell Body Terrace Edge Right Top 21ea Spec 72.85-75.85 G5081F3TP3111216 Mes 333.32 실측73.00-가성 G5081F3TP3110999 Mes 334.3 실측72.86-진성근접 G5081F3TP3110993 Mes 725.06 실측73.13-가성 G5081F3TP3111408 Mes 152.79 실측72.68 -진성불량  실측 결과  가성. 진성 같이  나오고 있습니다 *Mes 측정값 오류 확인부탁드립니다
725,1,,,,5LINE  Cell Body Terrace Edge Right Top 21ea Spec 72.85-75.85 G5081F3TP3111216 Mes 333.32 실측73.00-가성 G5081F3TP3110999 Mes 334.3 실측72.86-진성근접 G5081F3TP3110993 Mes 725.06 실측73.13-가성 G5081F3TP3111408 Mes 152.79 실측72.68 -진성불량  실측 결과  가성. 진성 같이  나오고 있습니다 *Mes 측정값 오류 확인부탁드립니다
364,1,,,,@SKBA/ Jun/ Egr  3-2 Cell Width Cathode Pouch ~Anode Tab 20ea 발생  Spec 364.5~366.5  G3081F5WP5108264 Mes 364.09 실측365.15  G3081F5WP5109395 Mes 364.15 실측365.22  G3081F5WP5106148 Mes 365.23 실측365.07  G3081F5WP5106128 Mes 364.44 실측365.20  CheckTime19:05~19:14
365,1,,,,@SKBA/ Jun/ Egr  3-2 Cell Width Cathode Pouch ~Anode Tab 20ea 발생  Spec 364.5~366.5  G3081F5WP5108264 Mes 364.09 실측365.15  G3081F5WP5109395 Mes 364.15 실측365.22  G3081F5WP5106148 Mes 365.23 실측365.07  G3081F5WP5106128 Mes 364.44 실측365.20  CheckTime19:05~19:14
3501,1,,Inspection,,@SKBA/ Jun/ Egr @Form/Daeyun_Key/Engr  R530 Type 등급 셋팅이 안되어있어 Inspection  MES CODE: 3501  발생되고 있습니다. 확인  필요합니다.
8044,1,,Formation,,####Formation <Maintenance BM> ▪︎Date : 3/6/2025 ▪︎Line : RTA 3 ▪︎Process :  ▪︎Unit : 3-3-1 ▪︎Start Time : 3:30am ▪︎End Time :  ▪︎Issue : lifter 8044 error ▪︎Cause:  ▪︎Troubleshooting:
S04405,1,Line6,,Tray,EOL line 6  Tray force out mes   S04405
S05165,1,Line6,,Tray,EOL line 6  Tray force out mes   S05165
2151,1,,Formation,Tray,"#### < Maintenance BM > Formation ▪︎Date: 06/03/2025 ▪︎Line: RTA1 ▪︎Process: RTA1 ▪︎Unit: S/C 3-3F  ▪︎Start Time: 10:50 ▪︎End Time: 10:57 ▪︎Issue: lifter 2151 error  ▪︎Cause: tray not centered   ▪︎Troubleshooting:  - Centered tray  - Restarted process  메시지가 삭제되었습니다."
S24612,1,,,Tray,EOL 4 Tray Status1 code1 error Tray code: S24612  @B/SWIFT/LOGISTIC
S06497,1,,VI,Tray,Cell loader gripper1 data mismatch error Tray code: S06497  @A/kevinG/TeamLead
S12943,1,,VI,Sensor ; Tray,Grip-2 sensor check MESA data check msmatch  Tray code: S12943 @A/kevinG/TeamLead
S17273,1,,VI,Tray,Tray status code1 error Tray code: S17273  I had to force out that tray because we had a data error @A/kevinG/TeamLead
S10363,1,,,Tray,Line: 3 Tray: S10363  Error: tray mismatch error Trouble shoot: sent to 8393
12087,1,,VI,Pallet,@SKBA/Xong/Specialist  Base ID:HF9E014 Pallet ID: G5CP081CPF90190 Is giving a post Date error I tried to cancel ERP before I can change the date it  gave  me a 12087 Error can you help assist please and thank you
1207,1,,,,@SKBA/Xong/Specialist   HG27023 G6CP081CPG20155 Code: 1207
247,1,,Formation ; PPC,PPC,"####Formation <Maintenance BM> ▪︎Date : 01/21/25 ▪︎Line : 1 ▪︎Process : RTA1  ▪︎Sub-Process(PPC,DGS): 1-2F ▪︎Unit : SRC # 1-2F ▪︎Sub-Unit(PPC,DGS) :  ▪︎Start Time: 03:30 ▪︎End Time: 04:30 ▪︎issue:  Error Code 247 Extinguisher 수위 알람  ▪︎Cause : 워터 탱크 수위 센서 Fail 추정 ▪︎Troubleshooting:  SRC # 1-2F 화면 내 Water High 및  Water Low 동시 점등 상태 확인. Water 탱크 내 수위 센서 커넥터 재체결 후 알람 해지 불가 IO Box 내 Water High (X0F) 케이블 분리 후 알람 해지 및 S/C 정상 작동 수위 센서 재고 확인 및 교체 필요"
X1381,1,,Aging ; Formation,,#### Formation     <Maintenance BM>     - Date: 05/30/25     - Shift: A     - Line: 5     - Process: Packaging       - Start Time: 07:40     - End Time: 07:44  Issue :Aling out transfer 01 detected alarm X1381 error Cause  Why?:Align out doesn't move Why?:the data Mes cell doesn't match with the real position and it was defaced one step before. Why?:The vacuum # 2 turn off   Correct action  The transfer was moved the manual way and the data were moved according to physical cells and matched betw
639,1,Line1,Formation ; PPC,PPC ; Tray,🔹PPC total Output 12:00~13:00🔹  ♦️1L: 880 (timed trays)   ♦️2L: 0 (timed trays) ~cross production with line 1  ♦️3L: 320 (timed trays)          ♦️4L: 633 (timed trays)  ♦️5L: 1040   ♦️6L: 639  Error sending information from HPC to Main PP
2505,1,,Degassing,Tray,🔹Hourly report: Degassing Output 1100~1200  ♦️1L : 324 Issue: rear chamber6 piercing errors  ♦️2L : 0  ♦️3L : 216 Issue: timed trays  ♦️4L: 0 Issue: timed trays  ♦️5L : 900  ♦️6L : 720 Issue: precut shuttle uld stage not detect cell//mes code 2505
X1476,1,,Formation ; IR,Cable ; PLC ; Sensor,<Maintenance BM> ####### Formation  ▪︎Date : 09/16/25 ▪︎Lane : EOL 3-2 ▪︎Process: Folding  ▪︎Unit: Cell transfer#7 ▪︎Start Time: 07:30 ▪︎End Time: 08:30 ▪︎Cause : Sensor cable damaged ▪︎Troubleshooting:  ✅ Check I/O (PLC) ✔️ Confirmed X1476 error in the PLC ✔️ Removed all cells (TR#1-13) and checked for cable disconnection      - X1476(TR#7 detect sensor) ✅ Replaced sensor  ✔️Part no : OBT30-R3-E0-P  ✔️Q-code : Q2C1001509  -W/O Q2C1001509
V8446,1,,Aging ; Charge ; Degassing ; Formation,Conveyor ; Tray,"#### ECS Report Date: 10/25/2025 Time: 14:00 ECS system ✅️Aging rooms ✅Degassing ✅Folding ✅Conveyor -C/V8446 error ✅Press Pre Charge ✅️Formation Charge ✅️ Traywasher 1, 2"
4536,1,,SVI ; VI,PLC ; Pallet ; SVI ; Sensor ; Tray,"05/21 공정 주간조 EOL 특이사항  [1라인] • 불량 Cell 특이사항 - 특이사항 없음  • 설비 특이사항 # Taping - 현상 : Tape Position x1 Error 발생 - 원인 : Limit Sensor 위치 틀어짐 - 조치 : Limit Sensor 위치 2mm 조정 후 설비 가동 (13:25~13:45)  # SVI - 현상 : Middle P&P Time Over Error 발생 - 원인 : 캐리어 내 Cell 안착 후 PLC 미 신호 - 조치 : PLC 프로그램 보안 수정 (11:00~12:00)  • 작업자 특이사항 - 특이사항 없음  [2라인] • 불량 Cell 특이사항 - 특이사항 없음  • 설비 특이사항 - C119 (A Material) Type 투입 정지 > C199, C126 Type 혼재 투입되어 CPM MES NG 다수 발생 > MES Code 4536 Models Mix > C126 Type 투입 가동 (16:40~  # SVI > 손"
4569,1,,Aging,,[MES Update Notice]  The MES update will take place between 15:20~15:40  - 4569 Error: Modified to pass verification when hold is applied after entering cell packaging machine
4071,1,,Charge ; Formation ; VI,Tray,"@SK C&C/Doehoon/MES  @SKBA.MES.AE   5Line EOL Line Process: 90-degree Folding Loader Tray Input Section  Issue: When inserting Tray ID S05168, an MES error code 4071 occurs.  The tray is of P551 type.  The previous formation process was completed normally.  No type mixing was detected.   The error log indicates ""Step 9 charge defect"", but this formation type only exists up to Step 6.  Please investigate the issue and share the root cause."
04088,1,,Formation ; Packing ; VI,Pallet,Good morning  Last night BShift could not ship due to product warehouse issues on logistics end. When packing line Operator was trying Cancel WHS and ERP (Formation tab ERP and Warehousing) it’s giving 3 error  1) ORA-01013 user requested cancel operation 2. ORA-04088 Error during Execution of trigger SKIWMS. TR_Cell_WMS Receipt material cancel 3.Lock out by user error   I will keep you updated on situation however the pallets do seem to warehouse on logistics end slowly threw out the day and we
4550,1,,,,"*Mes기준 - 1단 1행 data 보고 안된채 Field에서 1단 2행부터 mount 보고 시작하여 ng code 4550 nack 보냄 *Field기준 - 1단 1,2행 정상 mount보고 후  ack 정상 받음. 2단 1행부터 ng code 4550 nack 받음"
4523,1,,,,"Sorry for interrupting, but how do we solve 4523 error?"
T05234,1,,,Tray,"MES team,  Tray ID: T05234  Error: ""invalid format"" when registering tray.   Can the team assist on how to handle this issue?"
3004,1,,Charge ; Discharge,Tray,"Currently at Charging/Discharging Equipment 030510 (MES Location: 06-05-10), after initializing the FCH stage, I issued a manual discharge command for tray S10456, but the same 3004 error (""Tray data equipment and MRS do not match"") continues to occur.  Is there any way to resolve this error? Or should I proceed with manual handling/discharge instead?"
5002,1,,Packing,Pallet,"There are pallets have same issue that Junbeom shared on 3/30 which are 4522,5002 error codes of Box Packing Machine.   [4522] H010160  [5002] H008228 H008540 H009773 H008237  I tried to find any solution by seaching history of this chat room but couldn’t find.  Last time, Admin fixed it.  Would you make me know how to fix by ourside?"
E1054,1,,,,Is ERP-E1054 error code?
S21037,1,,,,@SK C&C/Jeonghun/MES   S21037 S19879  FCH 2Lane BCr 을 읽었으나 입고 명령을 받지 못하는 문제 발생중입니다.   운영로그 조회 시 9001 을 받으며 메세지는 다음과 같습니다  failed to send request message received message in null  해당 트레이외에 문제가 연속으로 발생되는데 확인 부탁드립니다.
2500,1,,,,Does error code 2500 occur?
3617,1,,,,@SKBA.MES.AE  What is MES code 3617 for?
